id,title,published_date,address,category,meters,floor,rooms,price
20916453,Suisse Romande : Entreprise domaine des Pneumatiques,2019-03-26,1110 Morges,Commercial property,,,,1600.0
22364942,Morges : Superbe Bureau vue lac à louer,2019-03-26,1110 Morges,Commercial property,,,,3000.0
22236040,MAGNIFIQUE ET SITUATION TOP !,2019-03-26,1110 Morges,Commercial property,,Floor 2,5.5,3880.0
21805936,APPARTEMENT AVEC BEAUCOUP DE CHARME,2019-03-22,Grand-Rue 10 | 1110 Morges,Apartment,117,Floor 3,4.5,2680.0
21321818,Vos bureaux à Morges - 186 m2,2019-03-20,Rue de Lausanne | 1110 Morges,Commercial property,,Floor 2,,3565.0
21376252,Appartement 3.0p MORGES,2019-03-18,Chemin du Rossignol 7 | 1110 Morges,Apartment,53,,3.0,1880.0
22233767,Morges : Superbe Arcade à remettre,2019-03-14,1110 Morges,Commercial property,,,,2500.0
20788872,VAUD : JOLI PRESSING A REMETTRE,2019-03-07,1110 Morges,Commercial property,,,,2100.0
20770175,Appartement de 2.5 pièces de style urbain au 2ème étage,2019-03-06,Rue Louis-de-Savoie 60 | 1110 Morges,Apartment,55,Floor 2,2.5,1990.0
20756030,La Côte : Magnifique Lounge Bar Restaurant à vendre,2019-03-01,1110 Morges,Commercial property,,,,3400.0
20432976,La Côte : Magnifique Night-Club à vendre,2019-02-28,1110 Morges,Commercial property,,,,4500.0
20660891,Appartement protégé de 3 pièces à louer proche du centre ville,2019-02-18,Avenue Ignace-Paderewski 36 | 1110 Morges,Apartment,77,Floor 1,3.0,2000.0
20370273,Surfaces administratives à louer de 152 m2,2019-02-06,Rue de Lausanne 35D | 1110 Morges,Commercial property,,,,3990.0
21969079,La Côte : Arcade pour Chocolaterie/Confiserie,2019-02-01,1110 Morges,Commercial property,,,,3000.0
22282722,Vaud : Epicerie/Rôtisserie avec labo à vendre,2019-01-22,1110 Morges,Commercial property,,,,3100.0
21434207,District de Nyon : Superbe Institut de Beauté à vendre,2019-01-17,1110 Morges,Commercial property,,,,1500.0
20432977,District de Nyon : Superbe Institut de Beauté à vendre,2019-01-17,1110 Morges,Commercial property,,,,1500.0
20424547,Vaud : Centre Commercial Arcade pour Enseigne à céder,2019-01-16,1110 Morges,Commercial property,,,,11000.0
20773273,La Côte : Magnifique Lounge-Bar à vendre,2019-01-12,1110 Morges,Commercial property,,,,2900.0
20385179,Arcade commerciale d'env. 285 m2 à Morges,2019-01-10,1110 Morges,Commercial property,,,,5937.0
20385178,Arcade commerciale d'env. 320 m2 à Morges,2019-01-10,1110 Morges,Commercial property,,,,6667.0
20370272,"Arcades commerciales à louer, surfaces modulables dès 137m2",2019-01-09,Rue de Lausanne 39A/E | 1110 Morges,Commercial property,,,,4960.0
20292500,La Côte : Location Gérance Café-Restaurant-Pizzeria,2018-12-21,1110 Morges,Commercial property,,,,6500.0
20127875,"Morges , centre ville, Grand Duplex complétement rénové",2018-12-15,1110 Morges,Apartment,125,,7.0,3400.0
20102128,La Côte : Epicerie Portugaise à remettre,2018-12-13,1110 Morges,Commercial property,,,,2300.0
20102126,La Côte : Superbe Onglerie Institut de Beauté à céder,2018-12-13,1110 Morges,Commercial property,,,,2080.0
20102082,Proche Morges : Café/Restaurant/Pizzeria à vendre,2018-12-13,1110 Morges,Commercial property,,,,4500.0
22340372,Vos bureaux aménagés privatifs dès 125/250 m2 avec espaces partagés,2018-12-04,Route de Lully 5 | 1110 Morges,Commercial property,,Floor 1,,3230.0
20605085,AU CENTRE AVEC BEAU VOLUME,2018-11-27,Sur demande | 1110 Morges,Apartment,170,Floor 4,4.5,3200.0
22255978,Superbe local commercial / 3 bureaux / 1 wc,2018-10-12,1110 Morges,Commercial property,,,5.0,4223.0
20450036,LA COTE : MAGNIFIQUE INSTITUT DE BEAUTE & BIEN ETRE A CEDER,2018-10-05,1110 Morges,Commercial property,,,,3000.0
19805353,Surface de 125 m2 au coeur de Morges et à deux pas du lac,2019-10-02,Chemin du Collège 4 | 1110 Morges,Commercial property,,Floor 2,,2950.0
20813216,District Morges : Superbe Restaurant à remettre,2018-09-11,1110 Morges,Commercial property,,,,2800.0
20102063,Canton Vaud : Snack avec Jus/Smoothie à vendre,2018-08-29,1110 Morges,Commercial property,,,,1800.0
20102148,Canton Vaud : Magnigique Bijouterie à vendre,2018-06-12,1110 Morges,Commercial property,,,,6800.0
18493425,Superbe villa d'exception de 12 pièces avec piscine,2018-03-06,"Sur les Devens, 1167 Lussy-sur-Morges | 1110 Morges",Single-family house,520,,12.0,12000.0
18491763,Superbe villa d'exception de 12 pièces avec piscine,2018-03-06,"Sur les Devens, 1167 Lussy-sur-Morges | 1110 Morges",Single-family house,520,,12.0,12000.0
20102150,La Côte : Grande Surface Commerciale à louer,2017-11-17,1110 Morges,Commercial property,,,,12000.0
20102130,District de Morges : Bureaux à louer,2017-11-16,1110 Morges,Commercial property,,,,2700.0
20102083,La Côte : Superbe Auberge à remettre,2017-10-26,1110 Morges,Commercial property,,,,4450.0
20102090,Vaud : Adorable Restaurant semi-gastro à vendre,2017-10-24,1110 Morges,Commercial property,,,,6500.0
21969072,La Côte : Surface de Bureaux à louer,2017-10-07,1110 Morges,Commercial property,,,,3100.0
16939760," Einfamilienhaus ,  CH-1110 Morges, Sur les Devens, 1167 Lussy-sur-...",2017-06-21,1110 Morges,Single-family house,520,,12.0,12000.0
17604305,Surface open-space de 249 m2 à Morges,2017-02-23,Avenue de Lonay 7 | 1110 Morges,Commercial property,,Floor 1,,4000.0
15826143,Magnifique surface commerciale,2016-12-08,Riond-Bosson 13 | 1110 Morges,Commercial property,,Floor 2,,5000.0
15826142,Surface administrative ou artisanale,2016-12-08,Riond-Bosson 13 | 1110 Morges,Commercial property,,Floor 2,,3510.0
